name,address,city,region,country,website,source_url,image_url,image_source_url,price_text,price_source_url,enriched_at,google_maps_url,apple_maps_url,maps_verified_at,maps_notes,lat,lon,status,verified_at,notes
Mac Tabby Cat Cafe Charlotte,3204 N Davidson St,Charlotte,NC,US,https://www.mactabby.com/,https://www.mactabby.com/,/images/cafes/mac-tabby-cat-cafe-charlotte-charlotte-nc.png,"https://images.getbento.com/accounts/28fe9eae0baa177cfa540f0fc6e7a03d/media/images/8142Mac_Tabby_Logo_dark_bkgrd.png?w=1200&fit=fill&auto=compress,format&cs=origin&h=600&bg=000&pad=100",$12 weekday/$14 weekend for 60 min; $8/$10 walk-in 30 min,https://www.mactabby.com/what-to-expect/,2026-07-07,https://www.google.com/maps/search/?api=1&query=Mac%20Tabby%20Cat%20Cafe%20Charlotte%2C%203204%20N%20Davidson%20St%2C%20Charlotte%2C%20NC%2C%20United%20States,https://maps.apple.com/?q=Mac+Tabby+Cat+Cafe+Charlotte&address=3204+N+Davidson+St%2C+Charlotte%2C+NC%2C+United+States&ll=35.24637%2C-80.80532,2026-07-07,Maps search link from curated name/address.,35.24637,-80.80532,active,2026-07-06,Official site reachable.; official site confirms adoption info.
Mac Tabby Cat Cafe Concord,25 Market St SW,Concord,NC,US,https://www.mactabby.com/,https://www.mactabby.com/,/images/cafes/mac-tabby-cat-cafe-concord-concord-nc.png,"https://images.getbento.com/accounts/28fe9eae0baa177cfa540f0fc6e7a03d/media/images/8142Mac_Tabby_Logo_dark_bkgrd.png?w=1200&fit=fill&auto=compress,format&cs=origin&h=600&bg=000&pad=100",$12 weekday/$14 weekend for 60 min; $8/$10 walk-in 30 min,https://www.mactabby.com/what-to-expect/,2026-07-07,https://www.google.com/maps/search/?api=1&query=Mac%20Tabby%20Cat%20Cafe%20Concord%2C%2025%20Market%20St%20SW%2C%20Concord%2C%20NC%2C%20United%20States,https://maps.apple.com/?q=Mac+Tabby+Cat+Cafe+Concord&address=25+Market+St+SW%2C+Concord%2C+NC%2C+United+States&ll=35.41029%2C-80.58119,2026-07-07,Maps search link from curated name/address.,35.41029,-80.58119,active,2026-07-06,Official site reachable.; official site confirms adoption info.
The Casual Cat Cafe,7264 Glenview Dr,Richland Hills,TX,US,https://www.thecasualcatcafe.com/,https://www.thecasualcatcafe.com/,/images/cafes/the-casual-cat-cafe-richland-hills-tx.webp,http://static1.squarespace.com/static/580c1c8e29687f5fbc4ec161/t/58631404ff7c501ec52d84a1/1482888201135/Logo_1.png?format=1500w,$15,https://www.thecasualcatcafe.com,2026-07-07,https://www.google.com/maps/search/?api=1&query=The%20Casual%20Cat%20Cafe%2C%207264%20Glenview%20Dr%2C%20Richland%20Hills%2C%20TX%2C%20United%20States,https://maps.apple.com/?q=The+Casual+Cat+Cafe&address=7264+Glenview+Dr%2C+Richland+Hills%2C+TX%2C+United+States&ll=32.82227%2C-97.22735,2026-07-07,Maps search link from curated name/address.,32.82227,-97.22735,active,2026-07-06,Official site reachable.; official site confirms adoptable cats.
El Gato Coffeehouse,508 Pecore St,Houston,TX,US,https://www.elgatocoffeehouse.com/,https://www.elgatocoffeehouse.com/,/images/cafes/el-gato-coffeehouse-houston-tx.webp,http://static1.squarespace.com/static/5739f494ab48de6e3b5ab4b0/t/5dd2d82f39cf287ccc297114/1574098994156/Juno+8531-102.jpg?format=1500w,$18,https://www.elgatocoffeehouse.com/faq,2026-07-07,https://www.google.com/maps/search/?api=1&query=El%20Gato%20Coffeehouse%2C%20508%20Pecore%20St%2C%20Houston%2C%20TX%2C%20United%20States,https://maps.apple.com/?q=El+Gato+Coffeehouse&address=508+Pecore+St%2C+Houston%2C+TX%2C+United+States&ll=29.79247%2C-95.39471,2026-07-07,Maps search link from curated name/address.,29.79247,-95.39471,active,2026-07-06,Official site reachable.; official site confirms adoption info.
Gem City Catfe,513 E 5th St,Dayton,OH,US,https://www.gemcitycatfe.com/,https://www.gemcitycatfe.com/,/images/cafes/gem-city-catfe-dayton-oh.webp,http://static1.squarespace.com/static/59ef854dc027d88675f777e0/t/59ef8960ccc5c521af189b50/1508870497829/gemcitycatfe_blackdiamond_font_small.png?format=1500w,$10 non-members; $5 members,https://www.gemcitycatfe.com/visit,2026-07-07,https://www.google.com/maps/search/?api=1&query=Gem%20City%20Catfe%2C%20513%20E%205th%20St%2C%20Dayton%2C%20OH%2C%20United%20States,https://maps.apple.com/?q=Gem+City+Catfe&address=513+E+5th+St%2C+Dayton%2C+OH%2C+United+States&ll=39.75744%2C-84.18330,2026-07-07,Maps search link from curated name/address.,39.75744,-84.18330,active,2026-07-06,Official site reachable.; official site confirms adoption info.
Kitty Brew Cat Cafe,6011 Tylersville Rd,Mason,OH,US,https://kittybrew.com/,https://kittybrew.com/,/images/cafes/kitty-brew-cat-cafe-mason-oh.jpg,https://kittybrew.com/wp-content/uploads/2025/04/social-share.jpg,$13 for 50 min,https://kittybrew.com/visit/,2026-07-07,https://www.google.com/maps/search/?api=1&query=Kitty%20Brew%20Cat%20Cafe%2C%206011%20Tylersville%20Rd%2C%20Mason%2C%20OH%2C%20United%20States,https://maps.apple.com/?q=Kitty+Brew+Cat+Cafe&address=6011+Tylersville+Rd%2C+Mason%2C+OH%2C+United+States&ll=39.35233%2C-84.31641,2026-07-07,Maps search link from curated name/address.,39.35233,-84.31641,active,2026-07-06,Official site reachable; updated canonical URL.; official site confirms adoptable cats.
Catfe,88 West Pender Street,Vancouver,BC,CA,https://www.catfe.ca/,https://www.catfe.ca/,/images/cafes/catfe-vancouver-bc.webp,http://static1.squarespace.com/static/555050d2e4b06f76bea1ba86/t/5b32cea503ce64cd87218d06/1530056359442/catfelogosquare.jpg?format=1500w,CAD$17.80 / 55min,https://www.catfe.ca/,2026-07-07,https://www.google.com/maps/search/?api=1&query=Catfe%2C%2088%20West%20Pender%20Street%2C%20Vancouver%2C%20BC%2C%20Canada,https://maps.apple.com/?q=Catfe&address=88+West+Pender+Street%2C+Vancouver%2C+BC%2C+Canada&ll=49.2800521%2C-123.107325,2026-07-07,Maps search link from curated name/address.,49.2800521,-123.107325,active,2026-07-06,Official site contains current address.; official site confirms reservations or booking for cat visits.
Meow Cat Cafe,556 Mount Pleasant Rd,Toronto,ON,CA,https://www.meowcatcafe.ca/,https://www.meowcatcafe.ca/,,,,,,,,,,43.70360,-79.38847,unverified,,Official site could not be reached during verification.
Regal Cat Cafe,303 10 St NW,Calgary,AB,CA,https://www.regalcatcafe.com/,https://www.regalcatcafe.com/,/images/cafes/regal-cat-cafe-calgary-ab.webp,http://static1.squarespace.com/static/5df5bacb2bc9487db2590aad/t/62dae6942f1c4f49ed15ef75/1658513044807/RCC+%2B+MEOW+-+Black%281%29.png?format=1500w,$12 weekdays / $14 weekends for 30 min,https://www.regalcatcafe.com/,2026-07-07,https://www.google.com/maps/search/?api=1&query=Regal%20Cat%20Cafe%2C%20303%2010%20St%20NW%2C%20Calgary%2C%20AB%2C%20Canada,https://maps.apple.com/?q=Regal+Cat+Cafe&address=303+10+St+NW%2C+Calgary%2C+AB%2C+Canada&ll=51.05249%2C-114.08591,2026-07-07,Maps search link from curated name/address.,51.05249,-114.08591,active,2026-07-06,Official site reachable.; official site confirms adoptable cats.
Cafe Chat L'Heureux,172 Duluth Ave E,Montreal,QC,CA,https://cafechatlheureux.com/,https://cafechatlheureux.com/,/images/cafes/cafe-chat-l-heureux-montreal-qc.png,https://cafechatlheureux.com/content/images/logos/Logo_cafechatlheureux.png,See website,https://cafechatlheureux.com/,2026-07-07,https://www.google.com/maps/search/?api=1&query=Cafe%20Chat%20L'Heureux%2C%20172%20Duluth%20Ave%20E%2C%20Montreal%2C%20QC%2C%20Canada,https://maps.apple.com/?q=Cafe+Chat+L%27Heureux&address=172+Duluth+Ave+E%2C+Montreal%2C+QC%2C+Canada&ll=45.51796%2C-73.57591,2026-07-07,Maps search link from curated name/address.,45.51796,-73.57591,active,2026-07-06,Official site reachable.; official site confirms adoption info.
